Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,15.960000,16.209999,15.280000,15.390000,14.890840,74856400
2015-09-07,15.680000,15.910000,15.260000,15.500000,14.997271,56220900
2015-09-14,15.500000,16.309999,15.490000,15.930000,15.413324,74927500
2015-09-21,16.000000,16.049999,14.290000,14.600000,14.126462,88357100
2015-09-28,14.590000,14.940000,14.330000,14.940000,14.455434,100951400
2015-10-05,14.640000,15.730000,14.640000,15.650000,15.142407,80514200
2015-10-12,15.620000,16.010000,15.070000,15.830000,15.316567,87832400
2015-10-19,16.000000,16.700001,15.640000,16.440001,15.906784,97670600
2015-10-26,16.650000,16.830000,16.080000,16.770000,16.226078,64484800
2015-11-02,16.790001,17.059999,16.629999,17.049999,16.496994,49471700
2015-11-09,16.770000,17.500000,16.500000,17.240000,16.680836,68157600
2015-11-16,17.139999,18.420000,17.020000,18.180000,17.590347,70828000
2015-11-23,17.820000,18.740000,17.820000,18.620001,18.118208,37378400
2015-11-30,18.719999,19.340000,18.680000,19.030001,18.517162,67242800
2015-12-07,19.100000,19.290001,18.260000,18.320000,17.826294,65851400
2015-12-14,18.400000,18.709999,17.820000,18.100000,17.612225,91623400
2015-12-21,18.299999,19.260000,18.150000,19.110001,18.595003,37504200
2015-12-28,19.180000,19.410000,18.670000,18.670000,18.166862,34065300
2016-01-04,18.309999,18.629999,16.520000,16.790001,16.337526,99437700
2016-01-11,16.980000,17.200001,15.850000,16.080000,15.646660,109562700
2016-01-18,16.360001,17.360001,15.960000,17.049999,16.590519,81045900
2016-01-25,17.000000,17.690001,16.670000,17.650000,17.174347,73981400
2016-02-01,17.450001,17.820000,16.690001,16.809999,16.356985,58325200
2016-02-08,16.559999,16.570000,15.440000,16.059999,15.627198,61685600
2016-02-15,16.150000,18.850000,16.150000,18.379999,17.884676,82039400
2016-02-22,18.700001,19.020000,18.090000,19.000000,18.487968,58741500
2016-02-29,18.980000,19.549999,18.870001,19.389999,18.969500,48219000
2016-03-07,19.209999,20.100000,18.760000,20.040001,19.605406,62968600
2016-03-14,19.980000,20.530001,19.770000,20.490000,20.045647,69295100
2016-03-21,20.459999,20.900000,19.709999,20.150000,19.713020,48337300
2016-03-28,20.219999,21.420000,20.040001,21.420000,20.955479,51907900
2016-04-04,21.350000,21.459999,20.680000,20.790001,20.339142,43398300
2016-04-11,20.950001,21.520000,20.719999,21.469999,21.004391,60296400
2016-04-18,21.400000,21.670000,20.850000,21.100000,20.642416,53271300
2016-04-25,21.020000,21.520000,20.170000,20.469999,20.026079,51276000
2016-05-02,20.500000,20.650000,19.629999,19.870001,19.439091,56856600
2016-05-09,19.870001,20.180000,19.459999,19.610001,19.184731,59734500
2016-05-16,19.540001,22.780001,19.540001,22.660000,22.168587,93244100
2016-05-23,22.879999,24.580000,22.770000,24.440001,23.909981,89486000
2016-05-30,24.320000,24.650000,24.100000,24.389999,23.965721,63336800
2016-06-06,24.420000,24.530001,23.910000,24.070000,23.651287,56592600
2016-06-13,23.980000,24.150000,23.320000,23.430000,23.022423,74732300
2016-06-20,23.870001,24.530001,23.150000,23.230000,22.825899,79052200
2016-06-27,23.040001,24.020000,22.170000,23.889999,23.474421,66032600
2016-07-04,23.750000,24.969999,23.490000,24.930000,24.496328,42577500
2016-07-11,25.000000,26.340000,25.000000,26.340000,25.881800,64162900
2016-07-18,26.530001,26.820000,26.059999,26.370001,25.911280,59209800
2016-07-25,26.440001,27.110001,26.160000,26.290001,25.832672,45952000
2016-08-01,26.410000,26.870001,25.680000,26.809999,26.343624,34350400
2016-08-08,26.850000,27.219999,26.370001,27.180000,26.707186,36279600
2016-08-15,27.400000,29.740000,27.000000,29.639999,29.124393,102379500
2016-08-22,29.500000,30.160000,28.870001,29.969999,29.448654,87719300
2016-08-29,29.920000,30.410000,29.549999,30.020000,29.599327,54673900
2016-09-05,30.040001,30.250000,28.670000,28.860001,28.455580,48741000
2016-09-12,28.639999,30.440001,28.530001,30.049999,29.628906,73347700
2016-09-19,30.440001,31.070000,29.610001,29.660000,29.244370,77694200
2016-09-26,29.490000,30.209999,29.219999,30.150000,29.727501,68771900
2016-10-03,30.180000,30.400000,29.440001,29.750000,29.333111,50947600
2016-10-10,29.969999,30.000000,27.559999,28.070000,27.676651,71013200
2016-10-17,28.650000,28.650000,27.740000,28.430000,28.031605,56784300
2016-10-24,28.709999,29.299999,28.570000,28.660000,28.258383,50087000
2016-10-31,28.730000,29.230000,28.020000,28.219999,27.824553,51990500
2016-11-07,28.670000,29.900000,28.100000,28.820000,28.416140,59473900
2016-11-14,29.400000,31.250000,28.930000,30.740000,30.309235,82615600
2016-11-21,30.879999,31.969999,30.840000,31.879999,31.433258,36612000
2016-11-28,31.840000,32.540001,29.850000,31.440001,31.098627,72678200
2016-12-05,31.700001,32.919998,31.209999,32.349998,31.998743,56618700
2016-12-12,32.180000,33.400002,31.670000,32.509998,32.157005,49311700
2016-12-19,32.250000,33.619999,32.250000,32.900002,32.542770,38599900
2016-12-26,33.150002,33.680000,32.180000,32.270000,31.919617,20578600
2017-01-02,32.360001,32.709999,31.660000,32.040001,31.692110,37023800
2017-01-09,32.270000,33.900002,32.209999,33.790001,33.423107,41978200
2017-01-16,33.790001,34.180000,33.090000,33.840000,33.472565,33880300
2017-01-23,33.759998,35.150002,33.560001,35.040001,34.659542,49474900
2017-01-30,34.790001,35.389999,33.770000,35.310001,34.926609,51975000
2017-02-06,35.320000,35.849998,35.009998,35.320000,34.936493,40920100
2017-02-13,35.720001,35.830002,34.580002,35.669998,35.282692,75821500
2017-02-20,35.520000,36.820000,35.520000,36.299999,36.008209,39553100
2017-02-27,36.470001,36.950001,36.099998,36.869999,36.573627,37473700
2017-03-06,36.680000,38.189999,36.509998,38.119999,37.813576,45093900
2017-03-13,38.200001,39.380001,37.779999,39.279999,38.964252,47492700
2017-03-20,39.330002,39.810001,38.299999,38.970001,38.656750,45507200
2017-03-27,38.450001,39.200001,38.299999,38.900002,38.587311,35718500
2017-04-03,38.990002,39.349998,37.849998,38.930000,38.617073,34810900
2017-04-10,38.820000,39.200001,37.410000,37.520000,37.218403,30445800
2017-04-17,37.639999,40.090000,37.570000,39.790001,39.470161,42849000
2017-04-24,40.369999,41.820000,40.090000,40.610001,40.283566,37260900
2017-05-01,40.980000,41.889999,40.849998,41.830002,41.493763,29867300
2017-05-08,41.900002,43.639999,41.439999,43.439999,43.090813,46524700
2017-05-15,43.880001,45.740002,42.730000,44.080002,43.725674,90791400
2017-05-22,44.189999,45.500000,43.619999,45.500000,45.134258,44009800
2017-05-29,45.470001,46.860001,45.209999,46.799999,46.527828,36376300
2017-06-05,46.630001,47.860001,43.410000,44.740002,44.479813,51033000
2017-06-12,44.139999,45.500000,42.320000,43.110001,42.859287,65949500
2017-06-19,43.700001,44.590000,43.080002,44.090000,43.833588,50027000
2017-06-26,44.470001,44.650002,40.790001,41.310001,41.069756,60361200
2017-07-03,41.330002,43.799999,40.980000,43.540001,43.286785,40144900
2017-07-10,43.599998,46.130001,43.509998,46.119999,45.851780,51402900
2017-07-17,46.200001,47.340000,45.680000,46.810001,46.537773,40129800
2017-07-24,46.680000,47.590000,44.910000,45.250000,44.986843,51539600
2017-07-31,45.430000,45.480000,42.310001,42.820000,42.570976,55192300
2017-08-07,42.860001,44.520000,41.939999,43.080002,42.829464,45252300
2017-08-14,43.700001,45.250000,43.000000,44.299999,44.042366,59752300
2017-08-21,44.110001,44.529999,43.020000,43.310001,43.058128,47158700
2017-08-28,43.360001,45.490002,42.930000,45.099998,44.941483,35632000
2017-09-04,44.630001,45.400002,43.869999,44.349998,44.194118,37735700
2017-09-11,44.889999,47.689999,44.849998,47.139999,46.974316,49846600
2017-09-18,47.799999,48.529999,46.759998,47.770000,47.602100,46023100
2017-09-25,47.520000,52.279999,45.580002,52.090000,51.906918,86014700
2017-10-02,52.209999,52.630001,50.770000,52.400002,52.215828,53081800
2017-10-09,52.689999,54.130001,51.790001,53.939999,53.750412,47545900
2017-10-16,54.279999,56.240002,54.150002,56.090000,55.892857,48166700
2017-10-23,56.490002,56.820000,54.570000,56.689999,56.490746,51196500
2017-10-30,56.500000,57.340000,55.110001,56.549999,56.351238,37589500
2017-11-06,56.689999,57.209999,54.799999,56.360001,56.161907,41182100
2017-11-13,56.400002,60.889999,55.459999,56.490002,56.291451,72816600
2017-11-20,56.660000,59.000000,56.660000,57.910000,57.706459,36565300
2017-11-27,56.919998,57.630001,50.369999,51.910000,51.815670,71982300
2017-12-04,52.060001,53.790001,48.250000,51.430000,51.336544,90120000
2017-12-11,51.570000,52.880001,50.410000,52.540001,52.444527,56662300
2017-12-18,53.160000,54.250000,51.299999,52.060001,51.965401,51796200
2017-12-25,51.220001,52.150002,50.419998,51.119999,51.027107,25961600
2018-01-01,51.680000,54.939999,51.220001,54.599998,54.500782,41083400
2018-01-08,55.009998,56.450001,52.560001,53.450001,53.352875,60526600
2018-01-15,54.820000,58.630001,54.009998,57.400002,57.295696,61445600
2018-01-22,57.470001,58.730000,55.459999,57.119999,57.016201,58606000
2018-01-29,56.730000,56.919998,50.520000,50.680000,50.587906,66640200
2018-02-05,49.980000,51.470001,45.130001,48.080002,47.992634,96789900
2018-02-12,48.959999,56.090000,48.410000,55.029999,54.930000,106070400
2018-02-19,54.740002,57.360001,54.349998,57.009998,56.906403,66922000
2018-02-26,57.520000,59.000000,55.119999,58.029999,58.029999,74127100
2018-03-05,57.310001,61.759998,57.110001,61.610001,61.610001,84170200
2018-03-12,61.910000,62.400002,59.230000,59.439999,59.439999,70795100
2018-03-19,58.820000,61.570000,55.369999,55.380001,55.380001,73722300
2018-03-26,57.209999,59.220001,53.730000,55.610001,55.610001,61289500
